30-Day_Portfolio_Simulation
Date,PortfolioValue,TotalReturnPercent,DailyGain,HoldingGain,CumulativeGain
2025-07-02,100000.0,2.0,0.0,2249.648806756470,2368.51
2025-07-03,100328.36,0.33,328.36,2219.303046994250,1880.31
2025-07-04,100339.26,0.34,10.9,1359.527609251490,1244.08
2025-07-05,100744.47,0.74,405.21,2068.916754876500,1990.37
2025-07-06,101592.25,1.59,847.78,921.7497132365120,1068.81
2025-07-07,101554.59,1.55,-37.67,2430.814829854420,2818.67
2025-07-08,101516.94,1.52,-37.64,1249.330843596140,1517.59
2025-07-09,102399.74,2.4,882.8,2665.646997911940,2325.09
2025-07-10,102874.59,2.87,474.85,1689.1432797059500,1623.48
2025-07-11,102715.4,2.72,-159.19,2209.993036997490,2040.19
2025-07-12,103076.22,3.08,360.82,1692.0212908473500,2093.48
2025-07-13,102919.84,2.92,-156.38,1627.237367278370,1369.77
2025-07-14,102762.52,2.76,-157.33,3330.068823477370,2939.22
2025-07-15,102969.05,2.97,206.53,2256.8779216544500,2550.33
2025-07-16,102066.38,2.07,-902.67,2512.6245414351700,2879.04
2025-07-17,101267.75,1.27,-798.63,2436.3999572191700,2789.68
2025-07-18,101064.06,1.06,-203.69,2023.880480774170,2195.82
2025-07-19,100633.11,0.63,-430.95,2871.9205400074000,2843.76
2025-07-20,100871.73,0.87,238.62,1144.959714776710,1177.0
2025-07-21,100494.46,0.49,-377.27,1275.7380554291500,1391.98
2025-07-22,99865.21,-0.13,-629.25,1139.2379956200100,1090.45
2025-07-23,100676.94,0.68,811.73,1412.6393323850000,1650.67
2025-07-24,100643.83,0.64,-33.11,1629.595653586820,1777.37
2025-07-25,100758.33,0.76,114.5,1460.2440317070400,1542.71
2025-07-26,100121.16,0.12,-637.17,2610.7827446628400,2657.48
2025-07-27,99928.73,-0.07,-192.42,1908.9707446426200,1713.51
2025-07-28,100064.1,0.06,135.36,1374.241796055870,1561.87
2025-07-29,99568.28,-0.43,-495.81,2097.253685271590,2085.38
2025-07-30,99834.98,-0.17,266.69,1329.2346460383200,1281.85
2025-07-31,99615.02,-0.38,-219.96,2131.901996153530,2604.39
